,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,emoji_positive,emoji_neutral,emoji_negative
rest23196,Deus Café,,4.0,53.0,635.0,Tsim Sha Tsui,51.0,澳洲菜,51,2,0
rest23197,雲石小姐,Miss Marble,3.0,16.0,251.0,Kwai Fong,51.0,西式,2,11,0
rest23198,居食屋「和民」 (黃埔天地時尚坊),Watami Japanese Casual Restaurant (黃埔天地時尚坊),3.0,121.0,1474.0,Hung Hom,101.0,日本菜,46,43,22
rest23199,魚米,Yu Mai,3.0,22.0,291.0,North Point,51.0,港式,10,9,2
rest23200,譚仔雲南米線,Tamjai Yunnan Mixian,4.0,4.0,161.0,Tai Kok Tsui,50.0,滇菜,3,0,0
rest23201,McSorley's Ale House,,4.0,68.0,1031.0,Discovery Bay,201.0,愛爾蘭菜,57,6,1
rest23202,Coffee Talks,,4.0,278.0,10643.0,Mong Kok,51.0,西式,214,32,7
rest23203,又一間餐室,Mo-Ikken Café,3.5,47.0,836.0,San Po Kong,50.0,港式,18,12,1
rest23204,大雞大超級雞排,Big Big Chick,,,5.0,Tin Shui Wai,50.0,台灣菜,0,0,0
rest23205,Poke HK,,,,48.0,Central,51.0,美國菜,1,0,0
rest23206,椰子媽,Coconut Mama,,,3.0,Shatin,50.0,港式,0,0,0
rest23207,四喜燒臘 (博康邨),Sze Hei Roasted Meat (博康邨),,,6.0,Shatin,50.0,港式,0,0,0
rest23208,Black Sugar Coffee & Lifestyle,,4.0,64.0,6448.0,Ho Man Tin,51.0,西式,44,11,3
rest23209,半路咖啡,Halfway Coffee,4.0,28.0,5891.0,Mong Kok,51.0,西式,20,1,0
rest23210,華御結,Hana-Musubi,,,22.0,Tin Shui Wai,50.0,日本菜,0,0,0
rest23211,金閣海鮮火鍋,,3.0,5.0,124.0,Fan Ling,101.0,粵菜,2,1,0
rest23212,Bruncholic,,4.0,4.0,147.0,Lai Chi Kok,51.0,西式,3,0,0
