,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,add_en,emoji_positive,emoji_neutral,emoji_negative
rest5170,翠華餐廳,Tsui Wah Restaurant,3.0,29.0,438.0,Causeway Bay,51.0,港式,"Unit 1-3, G/F, Causeway Bay Commercial Building, 1-5 Sugar Street, Causeway Bay, Causeway Bay",6,10,4
rest5171,吉豚屋吉列豬扒專門店,Ca-Tu-Ya,3.5,241.0,7789.0,Mong Kok,51.0,日本菜,"Shop A, G/F, Kai Wan Building, 142-146 Tung Choi Street, Mong Kok",121,56,15
rest5172,Metropolitain,,3.5,50.0,4296.0,Sai Wan,201.0,法國菜,"G/F, 46 High Street, Sai Ying Pun, Western District",27,10,8
rest5173,金色不如帰,Ramen House Konjiki Hototogisu,3.5,114.0,5665.0,Central,101.0,日本菜,"Shop 3020, 3/F, IFC Mall, 1 Harbour View Street, Central",51,39,10
rest5174,Pret A Manger,,4.0,28.0,410.0,Central,51.0,英國菜,"Shop 6, G/F, Nan Fung Tower, 88 Connaught Road Central, Central",16,5,0
rest5175,九份•十分 (T Town ),Jiufen Shifen (T Town ),4.0,315.0,2620.0,Tin Shui Wai,51.0,台灣菜,"Shop 201, 2/F, T Town South, 30 Tin Wah Road, Tin Shui Wai",256,15,10
rest5176,正記,Ching Kee,,,42.0,San Po Kong,50.0,港式,"Shop 5A, G/F, Winning Centre, 29 Tai Yau Street, San Po Kong",0,0,0
rest5177,千晶士多,,,,33.0,Yuen long,50.0,港式,"G/F, 1 Yu Wing Path, Yuen Long",1,0,0
rest5178,皇后吧,Queen's Pub,,,8.0,Jordan,101.0,港式,"G/F, 272 Temple Street, Jordan",0,0,0
rest5179,新快樂餐廳,New Happy Yummy,,,31.0,Tuen Mun,50.0,港式,"Shop 56, G/F, Lung Mun Oasis, 43 Lung Mun Road, Tuen Mun",1,1,0
rest5180,潮龍園,Dragon Garden,,,23.0,Yuen long,51.0,港式,"Shop D-E, G/F, Shun Fat Building, 17 Kik Yeung Road, Yuen Long",1,0,0
rest5181,星巴克咖啡,Starbucks Coffee,3.5,7.0,93.0,Sheung Wan,50.0,美國菜,"Shop nos. G61-62, G/F., Midland Centre,328 Queen's Road West, Sheung Wan",3,2,1
rest5182,好味軒,,4.5,3.0,35.0,Mong Kok,51.0,港式,"G/F, 6 Soy Street, Mong Kok",1,0,0
rest5183,歇腳亭,Sharetea,3.0,32.0,135.0,Lam Tin,50.0,台灣菜,"Shop L4-2E, Sceneway Plaza, Lam Tin, Lam Tin",10,5,3
rest5184,大快活,Fairwood,3.5,16.0,27.0,Shatin,50.0,港式,"Shop No. 240, Second Floor, Commercial/Carpark Block, Sha Kok Estate, 5 Sha Kok Street, Sha Tin",4,2,1
rest5185,翡翠拉麵小籠包,Crystal Jade La Mian Xiao Long Bao,4.0,54.0,1658.0,Shatin,101.0,滬菜,"Shop A238, 2/F, New Town Plaza Phase 3, 2-8 Sha Tin Centre Street, Sha Tin",32,12,1
rest5186,企鵝冰室,,,,28.0,Shau Kei Wan,50.0,港式,"Shop 12, G/F, Tung Hing Building, 28-40A Shau Kei Wan Main Street East, Shau Kei Wan",0,1,0
rest5187,新星餐廳小廚,,3.0,6.0,62.0,Shatin,50.0,港式,"Shop A, G/F, 6 Kwong Sin Street, East Yeuk Siu Lek Yuen, Sha Tin",1,0,0
rest5188,鳥炎屋,Torienya,4.0,163.0,8452.0,Tsim Sha Tsui,201.0,日本菜,"4/F, 17-19 Ashley Road, Tsim Sha Tsui",119,13,8
rest5189,Treats,,3.5,83.0,1079.0,Taikoo ,51.0,多國菜,"Shop 255, 2/F, Cityplaza, 18 Taikoo Shing Road, Tai Koo",30,29,7
rest5190,蛇王輝,,4.0,8.0,26.0,Tuen Mun,50.0,粵菜,"G/F, 10A Yan Ching Street, Tuen Mun",8,0,0
rest5191,北京樓,Peking Garden,4.0,27.0,565.0,Shatin,101.0,京菜,"Shop 801C, 8/F, Phase 1， New Town Plaza, 18 Sha Tin Centre Street, Sha Tin",12,2,2
rest5192,匠1.0,,,,4.0,Tsing Yi,50.0,日本菜,"G/F, 136 Chung Mei Lo Uk Tsuen, Tsing Yi",0,0,0
rest5193,明粥麵飯,,,,26.0,Chai Wan,50.0,港式,"Shop 24-25, Siu Sai Wan Market, G/F, Siu Sai Wan Plaza, 10 Siu Sai Wan Road, Chai Wan",0,0,0
rest5194,德豐打冷粉麵餐廳,,4.0,147.0,2551.0,Shum Shui Po,51.0,潮州菜,"Shop 145A & 147, G/F, Kweilin Street, Sham Shui Po",137,3,2
rest5195,橋底大排檔,,4.5,3.0,355.0,Tai Kok Tsui,51.0,港式,"G/F, 45 Tung Chau Street, Prince Edward Road West, Tai Kok Tsui",3,0,0
rest5196,王林記潮州魚蛋粉麵,Wong Lam Kee Chiu Chow Fish Ball Noodles,3.5,159.0,5206.0,Shau Kei Wan,50.0,潮州菜,"Shop A, 10 Shau Kei Wan Main Street East, Shau Kei Wan",88,30,14
